disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
急性出血性結膜炎,sentinel/その他,D_spatial,0,0,13,0.0
急性出血性結膜炎,sentinel/その他,combined,4,4,13,0.308
急性脳炎,全数把握,D_rare,15,15,13,1.154
急性脳炎,全数把握,D_stat,13,13,13,1.0
急性脳炎,全数把握,D_growth,0,0,13,0.0
急性脳炎,全数把握,D_spatial,0,0,13,0.0
急性脳炎,全数把握,combined,21,21,13,1.615
感染性胃腸炎,sentinel/その他,D_rare,0,0,13,0.0
感染性胃腸炎,sentinel/その他,D_stat,5,5,13,0.385
感染性胃腸炎,sentinel/その他,D_growth,1,1,13,0.077
感染性胃腸炎,sentinel/その他,D_spatial,0,0,13,0.0
感染性胃腸炎,sentinel/その他,combined,6,6,13,0.462
手足口病,sentinel/その他,D_rare,0,0,13,0.0
手足口病,sentinel/その他,D_stat,8,8,13,0.615
手足口病,sentinel/その他,D_growth,6,5,13,0.385
手足口病,sentinel/その他,D_spatial,7,7,13,0.538
手足口病,sentinel/その他,combined,14,13,13,1.0
日本紅斑熱,全数把握,D_rare,28,28,13,2.154
日本紅斑熱,全数把握,D_stat,6,6,13,0.462
日本紅斑熱,全数把握,D_growth,1,1,13,0.077
日本紅斑熱,全数把握,D_spatial,0,0,13,0.0
日本紅斑熱,全数把握,combined,33,33,13,2.538
日本脳炎,全数把握,D_rare,1,1,13,0.077
日本脳炎,全数把握,D_stat,0,0,13,0.0
日本脳炎,全数把握,D_growth,0,0,13,0.0
日本脳炎,全数把握,D_spatial,0,0,13,0.0
日本脳炎,全数把握,combined,1,1,13,0.077
東部ウマ脳炎,全数把握,D_rare,0,0,13,0.0
東部ウマ脳炎,全数把握,D_stat,0,0,13,0.0
東部ウマ脳炎,全数把握,D_growth,0,0,13,0.0
東部ウマ脳炎,全数把握,D_spatial,0,0,13,0.0
東部ウマ脳炎,全数把握,combined,0,0,13,0.0
梅毒,全数把握,D_rare,0,0,13,0.0
梅毒,全数把握,D_stat,25,22,13,1.692
梅毒,全数把握,D_growth,0,0,13,0.0
梅毒,全数把握,D_spatial,31,27,13,2.077
梅毒,全数把握,combined,33,29,13,2.231
水痘,sentinel/その他,D_rare,0,0,13,0.0
水痘,sentinel/その他,D_stat,5,5,13,0.385
水痘,sentinel/その他,D_growth,0,0,13,0.0
水痘,sentinel/その他,D_spatial,0,0,13,0.0
水痘,sentinel/その他,combined,5,5,13,0.385
流行性耳下腺炎,sentinel/その他,D_rare,0,0,13,0.0
流行性耳下腺炎,sentinel/その他,D_stat,2,2,13,0.154
流行性耳下腺炎,sentinel/その他,D_growth,0,0,13,0.0
流行性耳下腺炎,sentinel/その他,D_spatial,0,0,13,0.0
流行性耳下腺炎,sentinel/その他,combined,2,2,13,0.154
流行性角結膜炎,sentinel/その他,D_rare,0,0,13,0.0
流行性角結膜炎,sentinel/その他,D_stat,15,15,13,1.154
流行性角結膜炎,sentinel/その他,D_growth,0,0,13,0.0
流行性角結膜炎,sentinel/その他,D_spatial,0,0,13,0.0
流行性角結膜炎,sentinel/その他,combined,15,15,13,1.154
炭疽,全数把握,D_rare,0,0,13,0.0
炭疽,全数把握,D_stat,0,0,13,0.0
